Name,Faction,Supertype,Type,Subtypes,Text,Font_Size,Name_Font_Size,Unique,Cost,Power,Break,Presence1,Presence2,Ammo,front,back,Art,Illustrator,X_pos,Y_pos,zoom,starter_id,Set,Number,Flavor
Safecracker,Pirate,,Crew,,"**(T):** While boarding, return a card from the defending player’s Treasure Chest to your hand.",,,,,,,1,3,,,,FantasyCardsPack_013.png,REXARD,,,,,e1,90,That padlock doesn’t stand a chance.
Surly Quartermaster,Pirate,,Crew,,"When this crew enters play, if there is at least one Fire on any ship, choose one:

* Cannons you control get -1 cost until the turn ends.

* **Board**, spending 1(P) less.",0.9,,,,,,3,3,,,,ma (40).PNG,REXARD,,,,,e1,91,
Dinner Bell,Pirate,,Maneuver,,"Search your Hold for a crew, reveal it, and put it into your hand.",,,,,,,,,,,,fish.png,REXARD,,,,,e1,92,No self respecting Pirate would skip dinner.
Drawn to the Flame,Pirate,,Maneuver,,"Play only if there are three or more Fires on ships.

Play a crew from your discard pile, ignoring all costs.",,,,,,,,,,,,stoneskin.png,REXARD,,-600%,,,e1,93,
Ramming Speed,Pirate,,Maneuver,,**Board.** Deal 3 damage to the defending player and set three Fires on your ship.,,,,,,,,,,,,Artifact_helmet.png,REXARD,,-105%,,,e1,94,“Let them know we’re here!” - Apollo
Second Wind,Pirate,,Maneuver,,"Each player stows three cards from their hand, then draws three cards.",,,,,,,,,,,,SGI_161.png,REXARD,,,,,e1,95,"Exhale problems, inhale solutions."
Step Lively,Pirate,,Maneuver,,"Put a 1/1 Deckhand crew token into play and gain 1(P). If you control a unique crew, gain (A).",,,,,,,,,,,,Bird.png,REXARD,,300%,,,e1,96,"""Hop to it, don't keep the captain waiting!"""
Flaming Tar,Pirate,,Special Ammo,,"Whenever this cannon breaches, set a Fire on your ship and three Fires on your opponent’s ship.",,,,,,,,,2,,,SGI_77.png,REXARD,,,,,e1,97,
Echo Chamber,Trader,,Asset,,"Whenever you breach, if the damage discarded three or more cards of the same type, you may eject this asset to unstun the cannon and fire it again.",,,TRUE,,,,,,,,,SGI_44.png,REXARD,,,,,e1,98,
Luc Sangre,Trader,,Captain,,"When your turn begins, you may spend 1(P) to flip this card and put it into play.

The first time you breach each turn, shuffle a Shield into your Hold.",,,,,,,,,,,The Bat,ma (66).png,REXARD,,,,,e1,99,
Blazesinger,Trader,,Crew,,This crew gets +1 presence for each Fire on your ship.,,,,,,,2,2,,,,FantasyCardsPack_051.png,REXARD,,60%,,,e1,100,The chorus incendiary.
Hecate Sangre,Trader,,Crew,,"Whenever you breach, put that many presence counters on this crew.",,,TRUE,,,,1,-,,,,ma (57).PNG,REXARD,,,,,e1,101,Rumors about the source of the Sangre family's power swirl thickly through the arteries of the Shattering.
Sangre Enforcer,Trader,,Crew,,**(T):** This crew gets +2 presence until the attempt ends.,,,,,,,2,2,,,,FantasyCardsPack_054.png,REXARD,,,,,e1,102,Running one third of a criminal triumvirate comes with its share of dirty work.
The Bat,Trader,,Crew,,"*React -* When this crew would leave play, flip it instead.",,,TRUE,,,,1,1,,Luc Sangre,,LootCard_83.png,REXARD,,1500%,101%,,e1,99,“Skree!”
Bargain,Trader,,Maneuver,,"Discard a Trader card from your hand as an additional cost to play this maneuver.

Eject a card from your Treasure Chest, then gain 2(P) or draw two cards. Repeat this process for each card in your Treasure Chest.",,,,,,,,,,,,LootCard_125.png,REXARD,,215%,110%,,e1,103,
Forgery,Trader,,Maneuver,,"Set three Fires on your ship, then gain 3(P). If there are four or more Fires on your ship, gain 4(P) instead.",,,,,,,,,,,,SGI_114.PNG,REXARD,,,,,e1,104,
Heat Barrier,Trader,,Maneuver,,"Set two Fires on your ship.

Until your next turn begins, whenever you are dealt damage, reduce it by 1 for each Fire on your ship.",,,,,,,,,,,,SGI_147.png,REXARD,,-10%,,,e1,105,
Torch,Trader,,Maneuver,,"Spend X(P) as an additional cost to play this maneuver, where X is the number of Fires on your ship.

Deal X damage to your opponent.",,,,,,,,,,,,LootCard_81.png,REXARD,,-1000%,,,e1,106,
Trade Alliance,Trader,,Maneuver,,"Search your Hold for a card that does not match your faction, reveal it, and put it into your hand.",,,,,,,,,,,,SGI_02.PNG,REXARD,,-16%,,,e1,107,
Corrodium,Trader,,Special Ammo,,"Whenever this cannon breaches, choose one. If the damage discarded three or more cards of the same type, you may choose both:

* Your opponent discards a crew they control.
* Your opponent discards an asset they control.",0.65,,,,,,,,2,,,SGI_28.png,REXARD,,-36%,,,e1,108,
Volatilium,Trader,,Special Ammo,,"Whenever this cannon breaches, choose one. If the damage discarded three or more cards of the same type, you may choose both:

* Each player draws two cards.
* Each player discards two cards from their hand.",0.7,,,,,,,,2,,,LootCard_76.png,REXARD,33%,275%,108%,,e1,109,
